timestamp,volume,tvl,revenue,rr,apr
7/4/2021,1511.897284118384,10662.19355661542,4.47689850534207,0.0004198853154906714,0.15325814015409506
7/5/2021,1187.7286428908271,10414.28830745325,3.47375037780204,0.0003335561946480743,0.12174801104654713
7/6/2021,1431.056770824718,10421.444653409066,4.181675058324202,0.00040125675445162884,0.1464587153748445
7/7/2021,7497.598619764067,10386.579252573963,20.87377501670533,0.0020096871654382716,0.7335358153849691
7/8/2021,3057.2345060915422,10087.30674036541,8.477362293097354,0.0008403989797568369,0.3067456276112454
7/9/2021,2621.5742211229817,10237.836226216834,7.592796566406056,0.000741640752853868,0.2706988747916618
7/10/2021,741.9909754714402,11551.627766886826,2.1792063705391027,0.00018864928947813568,0.06885699065951952
7/11/2021,1011.6698763257276,11768.015024080452,2.946148621489999,0.0002503522144950873,0.09137855829070685
7/12/2021,2780.258696908878,11563.36229226617,8.338129409737585,0.0007210817406728066,0.26319483534557436
7/13/2021,1330.749345125275,11272.65877527602,4.0643891643825425,0.0003605528425376313,0.13160178752623541
7/14/2021,1516.505623081188,11297.786381835625,4.516220665685126,0.00039974385362306225,0.14590650657241772
7/15/2021,656.4203499588922,11206.458787805279,1.9511224864448555,0.00017410696129700146,0.06354904087340553
7/16/2021,1392.6757371386539,10721.118711601925,4.230531549904454,0.00039459795789093894,0.1440282546301927
7/17/2021,964.0219112425402,10908.614591863601,2.832536666145823,0.0002596605318019508,0.09477609410771203
7/18/2021,974.4933473372184,10751.117993308208,2.911556866092611,0.000270814334649182,0.09884723214695143
7/19/2021,1022.9248478822196,10184.994108422268,3.153833346961229,0.0003096549014548013,0.11302403903100247
7/20/2021,1994.4990359807368,10195.026017679598,5.737228284883305,0.0005627477825887007,0.20540294064487574
7/21/2021,1574.0382457718488,10649.77651370975,4.633785810846612,0.0004351063897802373,0.15881383226978663
7/22/2021,2296.44881312752,11122.527050079761,6.712246803586266,0.0006034821739128188,0.22027099347817888
7/23/2021,646.1048882043958,11496.241232352242,1.8842458110025337,0.0001639010327740834,0.05982387696254044
7/24/2021,1159.064071213366,11629.872416840873,3.4277276496567337,0.0002947347594882591,0.10757818721321459
7/25/2021,1108.2460070185098,12092.9826862593,3.2044666162723257,0.00026498562839368103,0.09671975436369358
7/26/2021,1704.8942601555443,11514.435050007374,5.248621870258827,0.00045582973436942225,0.16637785304483912
7/27/2021,1437.7603220895278,11726.594519879145,3.9929684597209554,0.0003405053745954974,0.12428446172735655
7/28/2021,1035.103712002582,11588.591589736332,2.988577477812772,0.0002578896196893905,0.09412971118662752
7/29/2021,1831.1126675803437,11818.029141445119,5.175106512233999,0.000437899285091895,0.15983323905854166
7/30/2021,1815.2368464299027,11929.249047765641,5.311076668619581,0.0004452146692011892,0.16250335425843404
7/31/2021,1084.0801259967457,12365.483477152802,3.1879976240758316,0.0002578142318467502,0.09410219462406384
8/1/2021,1673.2091596297591,12019.757480173626,5.013346232909905,0.0004170921286206755,0.15223862694654658
8/2/2021,1800.5065826416787,12243.214339608703,5.363813303853251,0.00043810499065596533,0.15990832158942733
8/3/2021,313.2894417322979,12178.756075595593,0.9289621855431826,0.00007627726343946439,0.0278412011554045
8/4/2021,449.38024476312694,12423.73008678553,1.3197718890297283,0.00010622992288229928,0.03877392185203924
8/5/2021,727.7231574432637,12381.45897136018,2.158850724245026,0.00017436157800455586,0.06364197597166288
8/6/2021,692.6308647216407,12792.048466702454,2.029688321977941,0.00015866796684371506,0.05791380789795599
8/7/2021,934.7001431182758,12918.547949000818,2.707793835377005,0.00020960512327443414,0.07650586999516847
8/8/2021,1035.042399518672,12350.24465629211,3.168364603929776,0.0002565426590408135,0.09363807054989694
8/9/2021,475.75810706299944,12656.90145377653,1.4150111325403965,0.00011179759419855398,0.04080612188247221
8/10/2021,2204.0162597207236,12685.109222823929,6.5850919324257315,0.0005191198449105489,0.18947874339235038
8/11/2021,592.0594731636561,13189.776760136005,1.7484106294433366,0.00013255801529011687,0.048383675580892654
8/12/2021,1023.5608968318596,12819.643614212708,3.0635115582013457,0.00023897010325660953,0.08722408768866248
8/13/2021,1521.5870992796197,13308.510590734279,4.478795292807592,0.0003365361782802234,0.12283570507228153
8/14/2021,1006.7895508993715,13417.91668368549,2.9744544151676475,0.00022167781223326663,0.08091240146514232
